feature,coefficient
f23,-0.7704993768938563
f25,0.7219167256423158
f45,0.6190725890225914
f41,0.6153098515400528
f34,-0.5649078506041806
f02,-0.5196636485214089
f14,0.5189685261425148
f07,0.5116089793861683
f47,0.4953453546334228
f37,0.42509458990890187
f42,-0.4144358220544177
f26,0.3884362307738515
f15,-0.370546620485875
f38,0.3670748891997567
f43,-0.3644797340018471
f29,0.3017678424949635
f30,0.29503550708038906
f35,0.28333323325173987
f09,0.27471290695146094
f31,-0.24692441622797678
f21,0.232938712558565
f33,0.19696876736564395
f05,0.1899614985762526
f19,0.1882321501316159
f06,0.18583795669793662
f11,-0.12714931348178968
f24,-0.12458047478559608
f46,0.10431174430940561
f44,0.0983301244886242
f27,-0.09619445790495754
f40,0.0902921905295736
f00,0.0868933550030968
f22,0.08386587599015786
f12,-0.08324723957881071
f13,0.07619079431022661
f18,0.07017692167178273
f28,-0.059995747891798644
f36,0.057456740967318856
f17,0.054385579158928006
f04,0.04952247621743162
f20,0.04425702857312791
f39,0.03250516828205743
f01,0.0292032722717725
f32,-0.02419862341191999
f16,0.016472817590736277
f08,0.015138887193745525
f10,0.010408982617017424
f03,0.005602120547945466
